order_id,order_date,customer_id,region,product,qty,amount,discount
ORD-1000,2026-08-05,C17,West,Monitor,2,6998,338
ORD-1001,2026-03-10,C28,North,Monitor,2,2598,263
ORD-1002,2026-06-05,C04,East,Monitor,1,8999,136
ORD-1003,2026-03-14,C20,East,Monitor,3,10497,478
ORD-1004,2026-02-07,C27,North,Laptop Pro,2,2598,273
ORD-1005,2026-03-21,C12,North,Keyboard,2,17998,328
ORD-1006,2026-06-01,C18,South,Laptop Pro,5,6495,30
ORD-1007,2026-02-25,C16,North,Laptop Pro,5,17495,21
ORD-1008,2026-04-13,C10,East,Laptop Pro,1,8999,269
ORD-1009,2026-07-11,C18,South,Wireless Mouse,3,10497,52
ORD-1010,2026-07-15,C11,South,Monitor,1,1299,345
ORD-1011,2026-07-11,C07,North,Laptop Pro,2,9998,112
ORD-1012,2026-08-19,C28,North,Wireless Mouse,2,17998,9
ORD-1013,2026-03-27,C30,West,Monitor,1,4999,490
ORD-1014,2026-04-13,C01,South,Wireless Mouse,5,6495,316
ORD-1015,2026-02-24,C02,East,Hub,4,9996,480
ORD-1016,2026-03-28,C08,South,Keyboard,2,4998,28
ORD-1017,2026-07-26,C03,South,Hub,3,14997,293
ORD-1018,2026-07-22,C20,South,Keyboard,2,9998,27
ORD-1019,2026-03-25,C06,East,Laptop Pro,2,4998,454
ORD-1020,2026-03-24,C11,West,Monitor,2,6998,213
ORD-1021,2026-04-17,C12,West,Hub,1,8999,217
ORD-1022,2026-08-21,C21,North,Monitor,1,3499,417
ORD-1023,2026-03-25,C24,West,Monitor,3,10497,466
ORD-1024,2026-03-22,C21,North,Monitor,3,14997,302
ORD-1025,2026-08-26,C06,North,Laptop Pro,3,3897,121
ORD-1026,2026-06-25,C03,East,Wireless Mouse,5,17495,273
ORD-1027,2026-05-28,C30,North,Wireless Mouse,4,19996,48
ORD-1028,2026-06-22,C05,West,Keyboard,4,13996,384
ORD-1029,2026-02-21,C28,North,Keyboard,4,19996,464
ORD-1030,2026-07-28,C09,North,Monitor,3,14997,237
ORD-1031,2026-05-03,C27,West,Keyboard,3,7497,337
ORD-1032,2026-04-27,C04,West,Keyboard,3,26997,400
ORD-1033,2026-03-15,C25,North,Keyboard,2,4998,304
ORD-1034,2026-07-02,C03,South,Laptop Pro,3,14997,301
ORD-1035,2026-03-26,C15,West,Monitor,2,6998,66
ORD-1036,2026-05-21,C13,West,Keyboard,3,10497,143
ORD-1037,2026-02-20,C06,East,Wireless Mouse,2,2598,304
ORD-1038,2026-08-14,C25,East,Keyboard,4,13996,308
ORD-1039,2026-08-25,C22,North,Monitor,3,26997,75
ORD-1040,2026-07-25,C10,South,Laptop Pro,1,4999,259
ORD-1041,2026-04-07,C06,North,Monitor,2,2598,228
ORD-1042,2026-05-23,C06,North,Wireless Mouse,2,9998,453
ORD-1043,2026-08-06,C19,East,Keyboard,4,9996,303
ORD-1044,2026-08-09,C18,East,Wireless Mouse,1,4999,242
ORD-1045,2026-04-01,C30,East,Hub,2,9998,441
ORD-1046,2026-05-25,C15,West,Hub,3,14997,283
ORD-1047,2026-06-24,C29,West,Keyboard,3,14997,290
ORD-1048,2026-02-08,C12,South,Hub,5,44995,441
ORD-1049,2026-07-20,C21,South,Hub,5,17495,409
ORD-1050,2026-08-23,C10,North,Hub,3,26997,196
ORD-1051,2026-07-16,C20,South,Hub,3,14997,178
ORD-1052,2026-07-07,C12,East,Laptop Pro,4,35996,53
ORD-1053,2026-03-16,C12,East,Hub,4,5196,201
ORD-1054,2026-02-28,C24,East,Monitor,4,19996,443
ORD-1055,2026-04-25,C14,West,Monitor,5,17495,212
ORD-1056,2026-08-28,C19,East,Monitor,2,2598,130
ORD-1057,2026-04-24,C03,West,Keyboard,3,3897,486
ORD-1058,2026-07-01,C16,South,Monitor,1,3499,123
ORD-1059,2026-08-01,C04,North,Monitor,4,19996,238
ORD-1060,2026-06-16,C20,West,Laptop Pro,1,4999,74
ORD-1061,2026-04-11,C23,North,Keyboard,1,2499,35
ORD-1062,2026-02-26,C15,North,Hub,5,44995,191
ORD-1063,2026-08-03,C11,South,Wireless Mouse,1,2499,202
ORD-1064,2026-04-07,C16,North,Wireless Mouse,2,6998,139
ORD-1065,2026-03-25,C10,West,Hub,3,7497,222
ORD-1066,2026-04-21,C06,North,Laptop Pro,2,4998,452
ORD-1067,2026-06-24,C25,East,Monitor,2,4998,152
ORD-1068,2026-07-16,C19,East,Monitor,2,17998,431
ORD-1069,2026-03-21,C20,South,Hub,1,3499,21
ORD-1070,2026-05-28,C16,South,Hub,2,2598,58
ORD-1071,2026-03-25,C02,West,Wireless Mouse,1,4999,240
ORD-1072,2026-04-11,C27,South,Hub,4,9996,404
ORD-1073,2026-08-07,C17,North,Laptop Pro,5,44995,8
ORD-1074,2026-05-10,C27,West,Keyboard,1,8999,22
ORD-1075,2026-07-15,C21,South,Wireless Mouse,5,6495,217
ORD-1076,2026-04-22,C20,South,Laptop Pro,2,2598,369
ORD-1077,2026-08-08,C26,South,Wireless Mouse,3,3897,361
ORD-1078,2026-06-23,C04,North,Monitor,4,9996,200
ORD-1079,2026-07-24,C06,South,Laptop Pro,3,14997,437
