date,platform,post_id,impressions,reach,likes,comments,shares,link_clicks
2026-07-14,X,P-000,238968,148538,3793,191,96,1116
2026-07-24,Instagram,P-001,206438,125563,1879,165,83,892
2026-07-27,X,P-002,368107,236640,5786,294,147,1821
2026-06-13,Instagram,P-003,247760,194217,4931,198,99,663
2026-07-19,Facebook,P-004,195757,152290,883,157,78,1440
2026-07-09,Facebook,P-005,208355,144292,3711,167,83,772
2026-08-22,YouTube,P-006,196743,142671,2685,157,79,1392
2026-06-25,YouTube,P-007,394635,280152,7265,316,158,2549
2026-06-28,YouTube,P-008,191601,156202,2764,153,77,1517
2026-06-13,YouTube,P-009,281237,193963,1881,225,112,2169
2026-07-15,Instagram,P-010,274187,207507,1241,219,110,1416
2026-08-10,LinkedIn,P-011,32273,19599,222,26,13,141
2026-08-07,Facebook,P-012,287756,216733,5514,230,115,1413
2026-06-02,YouTube,P-013,33550,25674,209,27,13,272
2026-06-21,LinkedIn,P-014,267335,170792,2803,214,107,2181
2026-06-20,Facebook,P-015,325687,184698,2930,261,130,2212
2026-07-02,Facebook,P-016,344842,212937,2672,276,138,1137
2026-06-26,Facebook,P-017,306952,204048,4125,246,123,1909
2026-08-12,X,P-018,115998,70953,749,93,46,308
2026-07-07,Instagram,P-019,68068,42794,643,54,27,519
2026-06-19,Facebook,P-020,238245,137422,2418,191,95,1935
2026-06-03,YouTube,P-021,367911,249456,3268,294,147,3265
2026-08-12,Facebook,P-022,360562,199970,6205,288,144,631
2026-08-20,LinkedIn,P-023,267770,208425,4746,214,107,2393
2026-07-27,Instagram,P-024,82789,46913,1246,66,33,191
2026-06-12,Facebook,P-025,311364,207515,4617,249,125,2387
2026-07-08,Facebook,P-026,397815,335127,2216,318,159,1897
2026-07-15,YouTube,P-027,216821,159156,1545,173,87,1884
2026-06-26,LinkedIn,P-028,128249,71592,857,103,51,829
2026-06-19,Facebook,P-029,334177,231497,2777,267,134,1027
2026-07-22,LinkedIn,P-030,264036,185730,1212,211,106,690
2026-08-18,Facebook,P-031,306296,212003,5280,245,123,1718
2026-08-21,LinkedIn,P-032,82270,49754,1281,66,33,703
2026-07-16,Facebook,P-033,31249,17710,588,25,12,273
2026-08-15,YouTube,P-034,239384,143595,1539,192,96,1375
2026-07-15,Instagram,P-035,348860,240240,2557,279,140,1982
2026-08-01,YouTube,P-036,372246,287929,6590,298,149,505
2026-07-26,YouTube,P-037,202072,161025,1693,162,81,1050
2026-07-10,LinkedIn,P-038,262659,216869,1230,210,105,413
2026-08-06,Facebook,P-039,123785,99081,1552,99,50,1066
2026-07-18,YouTube,P-040,352726,298292,6070,282,141,2664
2026-06-07,YouTube,P-041,250540,153057,3959,200,100,1684
2026-07-27,X,P-042,100496,59515,1499,80,40,621
2026-06-19,X,P-043,214766,126484,1413,172,86,562
2026-06-14,YouTube,P-044,339918,218525,3727,272,136,2138
2026-07-25,YouTube,P-045,315842,247977,3399,253,126,1964
2026-07-15,LinkedIn,P-046,170064,127029,2407,136,68,212
2026-07-19,LinkedIn,P-047,165841,126431,2439,133,66,996
2026-06-10,Instagram,P-048,389837,277568,7061,312,156,2010
2026-06-06,Instagram,P-049,267238,212775,3098,214,107,1586
2026-08-02,Facebook,P-050,349307,260428,5613,279,140,1754
2026-07-25,Facebook,P-051,195725,158153,3269,157,78,741
2026-06-03,YouTube,P-052,231667,180040,2116,185,93,1719
2026-07-18,Facebook,P-053,330537,193227,5424,264,132,2368
2026-08-12,X,P-054,283818,190974,1883,227,114,2349
2026-06-08,Facebook,P-055,265880,218472,4154,213,106,1543
2026-06-10,LinkedIn,P-056,302913,194111,1590,242,121,718
2026-08-23,Facebook,P-057,229082,181814,1236,183,92,544
2026-08-24,Facebook,P-058,234399,136607,3037,188,94,949
2026-06-09,LinkedIn,P-059,272627,227634,3288,218,109,1826
