date,channel,sessions,users,pageviews,goal_completions,revenue
2026-02-01,Email,5030,3773,13078,138,331200
2026-07-01,Referral,8594,6446,22344,357,856800
2026-03-01,Referral,11871,8903,30865,374,897600
2026-08-01,Referral,7335,5501,19071,151,362400
2026-04-01,Referral,5142,3857,13369,356,854400
2026-07-01,Direct,14482,10862,37653,518,1243200
2026-04-01,Direct,6857,5143,17828,381,914400
2026-04-01,Referral,10619,7964,27609,417,1000800
2026-05-01,Organic,6824,5118,17742,324,777600
2026-08-01,Paid Social,10038,7529,26099,557,1336800
2026-04-01,Referral,11262,8447,29281,378,907200
2026-05-01,Direct,3294,2471,8564,85,204000
2026-07-01,Direct,14209,10657,36943,630,1512000
2026-06-01,Paid Search,7164,5373,18626,230,552000
2026-08-01,Paid Search,5317,3988,13824,211,506400
2026-04-01,Organic,8974,6731,23332,537,1288800
2026-07-01,Email,14030,10523,36478,788,1891200
2026-06-01,Paid Search,4132,3099,10743,325,780000
2026-04-01,Direct,5550,4163,14430,400,960000
2026-02-01,Organic,13237,9928,34416,292,700800
2026-05-01,Paid Social,12000,9000,31200,865,2076000
2026-01-01,Organic,7772,5829,20207,213,511200
2026-01-01,Paid Social,1761,1321,4579,124,297600
2026-07-01,Direct,14207,10655,36938,455,1092000
2026-03-01,Email,12408,9306,32261,406,974400
2026-08-01,Direct,13055,9791,33943,654,1569600
2026-03-01,Paid Search,7621,5716,19815,427,1024800
2026-08-01,Direct,2148,1611,5585,102,244800
2026-05-01,Paid Social,11899,8924,30937,344,825600
2026-04-01,Paid Social,11082,8312,28813,839,2013600
2026-07-01,Paid Search,11848,8886,30805,346,830400
2026-07-01,Paid Search,10051,7538,26133,638,1531200
2026-06-01,Paid Social,7466,5600,19412,155,372000
2026-06-01,Direct,11276,8457,29318,555,1332000
2026-01-01,Paid Search,14606,10955,37976,718,1723200
2026-08-01,Direct,8015,6011,20839,561,1346400
2026-03-01,Email,4435,3326,11531,159,381600
2026-08-01,Paid Social,6763,5072,17584,479,1149600
2026-08-01,Direct,7081,5311,18411,509,1221600
2026-06-01,Organic,10641,7981,27667,765,1836000
2026-03-01,Paid Search,10257,7693,26668,706,1694400
2026-03-01,Direct,10765,8074,27989,587,1408800
2026-06-01,Paid Search,7882,5912,20493,234,561600
2026-07-01,Paid Social,14016,10512,36442,656,1574400
2026-07-01,Referral,14088,10566,36629,548,1315200
2026-05-01,Email,7783,5837,20236,363,871200
2026-06-01,Referral,14214,10661,36956,417,1000800
2026-01-01,Paid Search,3704,2778,9630,90,216000
